dataset_evaluado,tipo,categoria,valor,n,porcentaje,target_0_n,target_1_n,target_0_pct_grupo,target_1_pct_grupo
original,estadistico,minimo,29.0,,,,,,
original,estadistico,maximo,77.0,,,,,,
original,estadistico,media,54.43,,,,,,
original,estadistico,mediana,56.0,,,,,,
original,estadistico,desviacion_estandar,9.07,,,,,,
original,rango_etario,<40,,57.0,5.56,15.0,42.0,26.32,73.68
original,rango_etario,40-49,,237.0,23.12,80.0,157.0,33.76,66.24
original,rango_etario,50-59,,422.0,41.17,216.0,206.0,51.18,48.82
original,rango_etario,60-69,,275.0,26.83,174.0,101.0,63.27,36.73
original,rango_etario,70+,,34.0,3.32,14.0,20.0,41.18,58.82
unicos,estadistico,minimo,29.0,,,,,,
unicos,estadistico,maximo,77.0,,,,,,
unicos,estadistico,media,54.42,,,,,,
unicos,estadistico,mediana,55.5,,,,,,
unicos,estadistico,desviacion_estandar,9.05,,,,,,
unicos,rango_etario,<40,,15.0,4.97,4.0,11.0,26.67,73.33
unicos,rango_etario,40-49,,72.0,23.84,22.0,50.0,30.56,69.44
unicos,rango_etario,50-59,,125.0,41.39,60.0,65.0,48.0,52.0
unicos,rango_etario,60-69,,80.0,26.49,48.0,32.0,60.0,40.0
unicos,rango_etario,70+,,10.0,3.31,4.0,6.0,40.0,60.0
